id,genetics,species,finalCultivar,synonym,isConfirmed,use,country,genotypes,tree_tag_id,propertyOwner,treeSiteLocation,treeLatitude,treeLongitude,treeHeight,treeDripLine,trunkDiameter,fireBlight,fruitHanging
100,Malus,domestica,Ben Davis,"New York Pippin, Kentucky Red",C,"dessert, cider",United States,3136,100,public,Dunn House,39.9391806,-105.2603118,20,14,20.25,0,1001-10000
101,Malus,domestica,Fameuse,NA,C,NA,NA,2981,101,public,Dunn House,39.9393022,-105.2605268,27,32,45.8366,1,101-1000
102,Malus,domestica,McMahan,NA,C,NA,NA,3116,102,public,Dunn House,39.9392626,-105.2604312,20,32,22,1,11-100
103,Malus,domestica,Ben Davis,"New York Pippin, Kentucky Red",NA,"dessert, cider",United States,3136,103,public,Dunn House,39.9391503,-105.2602347,18,56,21.75,0,1001-10000
104,NA,NA,NA,NA,C,NA,NA,NA,104,public,Dunn House,39.9393277,-105.2600289,32,34,0.82021,0,1001-10000
105,Malus,domestica,Ben Davis,"New York Pippin, Kentucky Red",NA,"dessert, cider",United States,3136,105,public,Dunn House,39.9389094,-105.2602723,17,27,21.5,0,1001-10000
106,NA,NA,NA,NA,NA,NA,NA,NA,106,public,Dunn House,39.939076,-105.2604832,16,21,19.75,0,101-1000
107,NA,NA,NA,NA,NA,NA,NA,NA,107,public,Dunn House,39.9391814,-105.260448,14,13,13.5,1,101-1000
108,NA,NA,NA,NA,NA,NA,NA,NA,108,public,Dunn House,39.9392287,-105.2602723,15,14,7.5,0,11-100
109,NA,NA,NA,NA,NA,NA,NA,NA,109,public,"North, Marshall Mesa",39.9594829,-105.2226701,25,19,40,0,0
110,NA,NA,NA,NA,NA,NA,NA,NA,110,private,601 Boggess Cir,39.996472,-105.281527,28,28,15.5,1,1001-10000
111,NA,NA,NA,NA,C,NA,NA,NA,111,private,801 Boggess Cir,39.99585,-105.28179,35,34,15.82812,1,10000-
112,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",U,dessert,United States,2947,112,private,NA,40.0243,-105.2907,21,23.75,14.28125,1,1001-10000
113,Malus,domestica,Salome,NA,C,dessert,United States,3097,113,private,480 Japonica Way ,40.037,-105.2901,30,27,15.90625,1,11-100
114,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",C,dessert,United States,2947,114,private,3050 15 St,40.0316,-105.276,20,29,8.375,1,101-1000
115,Malus,domestica,McIntosh Summerland Red,NA,NA,cider,Canada,2968,115,private,460 Japonica Way,40.0369,-105.2901,35,NA,9.75,1,11-100
116,NA,NA,NA,NA,NA,NA,NA,NA,116,private,6775 Ute Hwy ,40.208067,-105.196977,25,32,22.234375,0,101-1000
117,NA,NA,NA,NA,C,NA,NA,NA,117,NA,6775 Ute Hwy,40.208481,-105.196986,NA,NA,NA,NA,NA
118,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",NA,dessert,United States,2947,118,private ,6775 Ute Hwy ,40.308722,-105.19663,9,17,20.1875,1,11-100
119,NA,NA,NA,NA,NA,NA,NA,NA,119,NA,6775 Ute Hwy,40.280702,-105.196409,NA,NA,NA,NA,NA
120,NA,NA,NA,NA,NA,NA,NA,NA,120,private ,6775 Ute Hwy ,40.208534,-105.196452,13,24,15.921875,1,101-1000
130,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",NA,dessert,United States,2947,130,private,NA,40.012182,-105.1498799,25,28,23.5,1,0-2
131,NA,NA,NA,NA,NA,NA,NA,NA,131,private,NA,40.0124083,-105.149775,18,21,9.0625,1,NA
132,NA,NA,NA,NA,NA,NA,NA,NA,132,private,NA,40.0141667,-105.1500744,25,12,8.6875,1,101-1000
133,NA,NA,NA,NA,NA,NA,NA,NA,133,public,Boulder Open Space,40.091214,-105.225566,15,22,6.875,0,101-1000
134,NA,NA,NA,NA,NA,NA,NA,NA,134,public,Boulder Open Space,40.09108,-105.225463,15,14,7.25,1,1001-10000
135,Malus,domestica,Wealthy,Lelsy,C,"dessert, cooking, cider",United States,3050,135,public,Boulder Open Space,40.0912457,-105.2254552,12,16,20.9375,1,NA
136,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",C,dessert,United States,2947,136,private ,3373 4th St ,40.037,-105.2921,25,20.25,11.75,1,11-100
137,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",C,dessert,United States,2947,137,private ,3373 4th St ,40.037,-105.2921,14.5,27.2083,12.15625,1,101-1000
138,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",NA,dessert,United States,2947,138,private,3373 4th St ,40.037,-105.2921,10,17.42,6.828125,0,11-100
145,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",NA,dessert,United States,2947,145,NA,902 Grant Place,40.0038,-105.2827,NA,NA,NA,NA,NA
146,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,774 Grant Place,40.0013277,-105.2827,NA,NA,NA,NA,NA
147,NA,NA,UNK_Morp_2lwt00b,NA,NA,NA,NA,NA,147,private,977 7th St.,40.0052034,-105.2857466,24,31,17.75,0,11-100
148,Malus,hybrid,Irene,NA,NA,NA,NA,3204,148,public,Smiths Park,40.0044,-105.2877,30,36,15.25,0,101-1000
149,NA,NA,NA,NA,NA,NA,NA,NA,149,public,Colombia Cemetary ,40.0085,-105.2823,17,19.67,8.25,1,101-1000
161,NA,NA,NA,NA,C,NA,NA,NA,161,private,"6775 Ute, Longmont",40.2086436,-105.1964257,12.5,13,12.375,1,11-100
162,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",U,dessert,United States,2947,162,private,"6775 Ute, Longmont",40.2060813,-105.1932898,12,18,13.25,1,11-100
163,Malus,domestica,Haralson,NA,NA,"dessert, cooking",United States,3196,163,private,"6775 Ute, Longmont",40.2060813,-105.1932898,8.5,9,5.75,0,11-100
164,Malus,domestica,Lodi,"Early Golden, Golden Lodi, Improved Yellow Transparent, Large Transparent",C,cooking,United States,3013,164,,close to 2640 Iliff,39.9704,-105.2586,NA,NA,NA,NA,NA
165,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",NA,dessert,United States,2947,165,private,2190 Linden,40.0404,-105.2685,17,24.083,11.03125,0,101-1000
166,NA,NA,NA,NA,NA,NA,NA,NA,166,private,2190 Linden,40.0403,-105.269,20,27.92,10.640625,0,101-1000
167,NA,NA,NA,NA,C,NA,NA,NA,167,private,2190 Linden,40.0401,-105.2687,NA,18.083,8.34375,0,11-100
168,Malus,domestica,McIntosh Summerland Red,NA,U,cider,Canada,2968,168,private,821 Mapleton,40.0209,-105.2857,35,50.083,18.625,0,0-2
